MISSION,VESEL,CRUNO,YEAR,SEASON
NED2012022,N,22,2012,SUMMER
ATC1970175,A,175,1970,SUMMER
ATC1970176,A,176,1970,SUMMER
ATC1971188,A,188,1971,SUMMER
ATC1971189,A,189,1971,SUMMER
ATC1972200,A,200,1972,SUMMER
ATC1972201,A,201,1972,SUMMER
ATC1973212,A,212,1973,SUMMER
ATC1973213,A,213,1973,SUMMER
ATC1974225,A,225,1974,SUMMER
ATC1974226,A,226,1974,SUMMER
ATC1975236,A,236,1975,SUMMER
ATC1975237,A,237,1975,SUMMER
ATC1976250,A,250,1976,SUMMER
ATC1976251,A,251,1976,SUMMER
ATC1977265,A,265,1977,SUMMER
ATC1977266,A,266,1977,SUMMER
ATC1978279,A,279,1978,SUMMER
ATC1978280,A,280,1978,SUMMER
ATC1979292,A,292,1979,SUMMER
ATC1979293,A,293,1979,SUMMER
ATC1980306,A,306,1980,SUMMER
ATC1980307,A,307,1980,SUMMER
ATC1981321,A,321,1981,SUMMER
HAM1981060,H,60,1981,SUMMER
ATC1981322,A,322,1981,SUMMER
HAM1982080,H,80,1982,SUMMER
HAM1982081,H,81,1982,SUMMER
NED1983013,N,13,1983,SUMMER
NED1983012,N,12,1983,SUMMER
NED1984032,N,32,1984,SUMMER
NED1984031,N,31,1984,SUMMER
NED1985048,N,48,1985,SUMMER
NED1985049,N,49,1985,SUMMER
NED1986065,N,65,1986,SUMMER
NED1986066,N,66,1986,SUMMER
NED1987086,N,86,1987,SUMMER
NED1987087,N,87,1987,SUMMER
NED1987085,N,85,1987,SUMMER
NED1988105,N,105,1988,SUMMER
NED1988106,N,106,1988,SUMMER
NED1989123,N,123,1989,SUMMER
NED1989124,N,124,1989,SUMMER
NED1990140,N,140,1990,SUMMER
TEM2008830,T,830,2008,SUMMER
NED1990139,N,139,1990,SUMMER
HAM1991231,H,231,1991,SUMMER
NED1991154,N,154,1991,SUMMER
NED1992173,N,173,1992,SUMMER
NED1992174,N,174,1992,SUMMER
NED1993189,N,189,1993,SUMMER
NED1993190,N,190,1993,SUMMER
NED1994221,N,221,1994,SUMMER
NED1994222,N,222,1994,SUMMER
NED1995226,N,226,1995,SUMMER
NED1995227,N,227,1995,SUMMER
NED1996246,N,246,1996,SUMMER
NED1996247,N,247,1996,SUMMER
NED1997734,N,734,1997,SUMMER
NED1997726,N,726,1997,SUMMER
NED1998827,N,827,1998,SUMMER
NED1998832,N,832,1998,SUMMER
NED1999925,N,925,1999,SUMMER
NED1999929,N,929,1999,SUMMER
NED2000426,N,426,2000,SUMMER
NED2000431,N,431,2000,SUMMER
NED2001032,N,32,2001,SUMMER
NED2001037,N,37,2001,SUMMER
NED2002037,N,37,2002,SUMMER
NED2002040,N,40,2002,SUMMER
NED2003036,N,36,2003,SUMMER
NED2003042,N,42,2003,SUMMER
TEL2004529,S,529,2004,SUMMER
TEL2004530,S,530,2004,SUMMER
TEL2005605,S,605,2005,SUMMER
NED2005034,N,34,2005,SUMMER
NED2005027,N,27,2005,SUMMER
NED2006030,N,30,2006,SUMMER
NED2006036,N,36,2006,SUMMER
TEL2007745,S,745,2007,SUMMER
NED2011025,N,25,2011,SUMMER
NED2013022,N,22,2013,SUMMER
NED2010027,N,27,2010,SUMMER
NED2014018,N,18,2014,SUMMER
NED2009027,N,27,2009,SUMMER
NED2017020,N,20,2017,SUMMER
NED2015017,N,17,2015,SUMMER
NED2016016,N,16,2016,SUMMER
TEL2018023,S,23,2018,SUMMER
NED2020025,N,25,2020,SUMMER
NED2019030,N,30,2019,SUMMER
